,unique_songs,counts
0,M83__Midnight City,2601
1,Daft Punk__Get Lucky - Radio Edit,2332
2,Imagine Dragons__Radioactive,2331
3,Of Monsters and Men__Little Talks,2245
4,Avicii__Wake Me Up,2231
5,Lorde__Royals,2214
6,The Lumineers__Ho Hey,2169
7,Macklemore & Ryan Lewis__Can't Hold Us - feat. Ray Dalton,2059
8,Bastille__Pompeii,2008
9,Robin Thicke__Blurred Lines,1986
10,Foster The People__Pumped up Kicks,1900
11,Fun.__We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,1850
12,Nirvana__Smells Like Teen Spirit,1840
13,Gotye__Somebody That I Used To Know,1805
14,Arctic Monkeys__Do I Wanna Know?,1783
15,Passenger__Let Her Go,1772
16,The Temper Trap__Sweet Disposition,1701
17,MGMT__Kids,1700
18,Clean Bandit__Rather Be (feat. Jess Glynne),1697
19,OneRepublic__Counting Stars,1692
20,Macklemore & Ryan Lewis__Thrift Shop - feat. Wanz,1692
21,The Killers__Mr. Brightside,1679
22,Daft Punk__Get Lucky,1666
23,Mark Ronson__Uptown Funk,1661
24,Rihanna__We Found Love,1625
25,AWOLNATION__Sail,1560
26,Bruno Mars__Locked Out Of Heaven,1550
27,Disclosure__Latch,1546
28,Imagine Dragons__It's Time,1541
29,Radiohead__Creep,1525
30,The Black Keys__Lonely Boy,1520
31,Mumford & Sons__I Will Wait,1508
32,Imagine Dragons__Demons,1490
33,Blur__Song 2,1489
34,Oasis__Wonderwall,1481
35,The White Stripes__Seven Nation Army,1478
36,Sia__Chandelier,1474
37,JAY Z__Ni**as In Paris,1471
38,Mumford & Sons__Little Lion Man,1470
39,Guns N' Roses__Sweet Child O' Mine,1462
40,Coldplay__Fix You,1456
41,Journey__Don't Stop Believin',1442
42,Justin Timberlake__Mirrors,1432
43,Franz Ferdinand__Take Me Out,1428
44,Carly Rae Jepsen__Call Me Maybe,1427
45,Katy Perry__Roar,1421
46,Coldplay__Viva La Vida,1393
47,Vance Joy__Riptide,1379
48,"Drake__Hold On, We're Going Home",1363
49,The Naked And Famous__Young Blood,1361
50,Calvin Harris__Summer,1360
51,Two Door Cinema Club__What You Know,1358
52,Bon Iver__Skinny Love,1354
53,Coldplay__The Scientist,1346
54,Pitbull__Timber,1345
55,Katy Perry__Dark Horse,1344
56,Florence + The Machine__Dog Days Are Over,1341
57,Calvin Harris__Sweet Nothing,1341
58,Mumford & Sons__The Cave,1340
59,Edward Sharpe & The Magnetic Zeros__Home,1332
60,Maroon 5__Moves Like Jagger - Studio Recording From The Voice Performance,1330
61,Swedish House Mafia__Don't You Worry Child (Radio Edit) [feat. John Martin],1329
62,Daft Punk__Lose Yourself to Dance,1325
63,Pharrell Williams__Happy,1320
64,Foo Fighters__Everlong,1311
65,Fun.__Some Nights,1307
66,Daft Punk__Instant Crush,1305
67,The xx__Intro,1300
68,Kings Of Leon__Use Somebody,1299
69,alt-J__Breezeblocks,1292
70,Muse__Uprising,1287
71,MGMT__Electric Feel,1286
72,"Pharrell Williams__Happy - From Despicable Me 2""""",1281
73,Michael Jackson__Billie Jean - Single Version,1273
74,Ellie Goulding__Burn,1269
75,Coldplay__Yellow,1264
76,Ed Sheeran__Thinking Out Loud,1261
77,Nirvana__Come As You Are,1243
78,Sam Smith__Stay With Me,1238
79,John Legend__All of Me,1236
80,Kings Of Leon__Sex on Fire,1236
81,MGMT__Time to Pretend,1233
82,Rihanna__Diamonds,1229
83,Coldplay__Paradise,1223
84,OutKast__Hey Ya! - Radio Mix / Club Mix,1223
85,M.I.A.__Paper Planes,1219
86,The xx__Crystalised,1216
87,Meghan Trainor__All About That Bass,1214
88,Passion Pit__Take a Walk,1214
89,Avicii__Hey Brother,1214
90,Lorde__Team,1210
91,R.E.M.__Losing My Religion,1210
92,Calvin Harris__I Need Your Love,1209
93,Avicii__Levels - Radio Edit,1200
94,LMFAO__Party Rock Anthem,1197
95,Milky Chance__Stolen Dance,1194
96,Imagine Dragons__On Top Of The World,1188
97,Coldplay__Magic,1179
98,Coldplay__A Sky Full of Stars,1179
99,Florence + The Machine__Shake It Out,1176
100,Phoenix__Lisztomania,1176
101,Phoenix__1901,1158
102,Katy Perry__Firework,1154
103,The Killers__Somebody Told Me,1154
104,Iggy Azalea__Fancy,1154
105,Radiohead__Karma Police,1146
106,Adele__Rolling In The Deep,1141
107,Survivor__Eye of the Tiger,1139
108,Coldplay__Clocks,1137
109,The Neighbourhood__Sweater Weather,1136
110,Band of Horses__The Funeral,1134
111,Mr. Probz__Waves - Robin Schulz Radio Edit,1133
112,CHVRCHES__The Mother We Share,1132
113,Arctic Monkeys__R U Mine?,1132
114,Jason Mraz__I'm Yours,1126
115,The Cure__Friday I'm In Love,1121
116,The Black Eyed Peas__I Gotta Feeling,1118
117,Eminem__Love The Way You Lie,1116
118,Adele__Someone Like You,1116
119,Icona Pop__I Love It (feat. Charli XCX) - Original Version,1114
120,Snow Patrol__Chasing Cars,1110
121,Rihanna__Only Girl (In The World),1109
122,Skrillex__Bangarang (feat. Sirah),1109
123,The Strokes__Last Nite,1107
124,The Black Keys__Tighten Up,1103
